代,B-Disease
谢,I-Disease
性,I-Disease
骨,I-Disease
病,I-Disease
"
",0
糖,B-Anatomy
化,I-Anatomy
低,I-Anatomy
密,I-Anatomy
度,I-Anatomy
脂,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
对,0
小,0
鼠,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
增,0
殖,0
分,0
化,0
"
",0
和,0
低,B-Anatomy
密,I-Anatomy
度,I-Anatomy
脂,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
相,I-Anatomy
关,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
 ,I-Anatomy
5,I-Anatomy
、,0
D,B-Anatomy
K,I-Anatomy
K,I-Anatomy
1,I-Anatomy
 ,I-Anatomy
基,I-Anatomy
因,I-Anatomy
表,0
达,0
"
",0
的,0
影,0
响,0
"
",0
熊,0
燕,0
琴,0
 ,0
 ,0
孙,0
向,0
华,0
 ,0
 ,0
张,0
克,0
勤,0
 ,0
 ,0
周,0
筠,0
 ,0
 ,0
张,0
秀,0
珍,0
 ,0
 ,0
雷,0
涛,0
"
",0
[,0
摘,0
要,0
],0
 ,0
 ,0
 ,0
目,0
的,0
 ,0
 ,0
研,0
究,0
不,0
同,0
浓,0
度,0
糖,B-Anatomy
化,I-Anatomy
低,I-Anatomy
密,I-Anatomy
度,I-Anatomy
脂,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
(,0
糖,B-Anatomy
化,I-Anatomy
 ,I-Anatomy
L,I-Anatomy
D,I-Anatomy
L,I-Anatomy
),0
对,0
小,0
鼠,0
成,B-Anatomy
骨,I-Anatomy
细,I-Anatomy
胞,I-Anatomy
 ,0
M,0
C,0
3,0
T,0
3,0
-,0
E,0
1,0
 ,0
增,0
殖,0
分,0
化,0
及,0
"
",0
低,B-Anatomy
密,I-Anatomy
度,I-Anatomy
脂,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
相,I-Anatomy
关,I-Anatomy
蛋,I-Anatomy
白,I-Anatomy
 ,I-Anatomy
5,I-Anatomy
(,0
L,B-Anatomy
R,I-Anatomy
P,I-Anatomy
5,I-Anatomy
),0
、,0
D,B-Anatomy
K,I-Anatomy
K,I-Anatomy
