j,B-Frequency
\,0
.,0
"
",0
降,0
糖,0
药,0
物,0
的,0
中,0
国,0
指,0
南,0
/,0
共,0
识,0
(,0
中,0
),0
"
",0
回,0
文,0
:,0
徐,0
赫,0
男,0
"
",0
近,0
年,0
来,0
",",0
出,0
现,0
了,0
很,0
多,0
新,0
型,0
降,0
糖,0
药,0
物,0
",",0
这,0
对,0
于,0
医,0
生,0
和,0
患,0
者,0
来,0
说,0
都,0
是,0
“,0
幸,0
福,0
的,0
烦,0
恼,0
”,0
",",0
因,0
为,0
"
",0
面,0
对,0
各,0
种,0
降,0
糖,0
药,0
",",0
不,0
知,0
道,0
该,0
选,0
哪,0
种,0
才,0
好,0
",",0
对,0
于,0
药,0
物,0
的,0
具,0
体,0
使,0
用,0
也,0
不,0
十,0
分,0
清,0
楚,0
。,0
特,0
别,0
是,0
糖,B-Disease
尿,I-Disease
病,I-Disease
"
",0
分,0
级,0
诊,0
疗,0
推,0
行,0
后,0
",",0
基,0
层,0
的,0
医,0
生,0
和,0
患,0
者,0
都,0
担,0
心,0
用,0
不,0
好,0
这,0
些,0
药,0
物,0
。,0
庆,0
幸,0
的,0
是,0
",",0
近,0
几,0
年,0
国,0
内,0
的,0
一,0
些,0
"
",0
专,0
业,0
组,0
织,0
针,0
对,0
各,0
类,0
降,0
糖,0
药,0
物,0
发,0
布,0
了,0
一,0
系,0
列,0
的,0
指,0
南,0
或,0
共,0
识,0
",",0
为,0
药,0
物,0
的,0
临,0
床,0
应,0
用,0
提,0
供,0
了,0
规,0
范,0
。,0
我,0
"
",0
们,0
也,0
希,0
望,0
这,0
些,0
组,0
织,0
今,0
后,0
能,0
够,0
针,0
对,0
基,0
层,0
的,0
实,0
际,0
情,0
况,0
来,0
给,0
出,0
更,0
“,0
接,0
地,0
气,0
”,0
的,0
指,0
南,0
或,0
规,0
范,0
",",0
毕,0
竟,0
现,0
"
",0
有,0
的,0
指,0
南,0
或,0
共,0
识,0
都,0
是,0
大,0
医,0
院,0
的,0
专,0
家,0
们,0
制,0
订,0
的,0
。,0
下,0
面,0
我,0
们,0
将,0
逐,0
类,0
盘,0
点,0
近,0
几,0
年,0
发,0
布,0
的,0
相,0
关,0
指,0
南,0
或,0
"
",0
共,0
识,0
",",0
如,0
存,0
在,0
更,0
新,0
版,0
",",0
则,0
仅,0
讨,0
论,0
最,0
新,0
版,0
本,0
。,0
"
",0
对,0
于,0
噻,B-Drug
唑,I-Drug
烷,I-Drug
二,I-Drug
酮,I-Drug
类,I-Drug
与,0
a,B-Drug
一,I-Drug
葡,I-Drug
萄,I-Drug
糖,I-Drug
苷,I-Drug
酶,I-Drug
抑,I-Drug
制,I-Drug
剂,I-Drug
这,0
两,0
"
",0
类,0
口,0
服,0
降,0
糖,0
药,0
物,0
",",0
目,0
前,0
国,0
内,0
糖,B-Disease
尿,I-Disease
病,I-Disease
相,0
关,0
专,0
业,0
组,0
织,0
尚,0
未,0
"
",0
发,0
布,0
专,0
门,0
的,0
临,0
床,0
指,0
南,0
或,0
共,0
识,0
",",0
不,0
过,0
据,0
悉,0
",",0
吡,B-Drug
格,I-Drug
列,I-Drug
酮,I-Drug
临,0
"
",0
床,0
应,0
用,0
的,0
专,0
家,0
共,0
识,0
很,0
快,0
将,0
会,0
发,0
布,0
",",0
届,0
时,0
我,0
们,0
再,0
进,0
行,0
"
",0
介,0
绍,0
。,0
本,0
期,0
我,0
们,0
先,0
来,0
看,0
看,0
胰,B-Drug
岛,I-Drug
素,I-Drug
方,0
面,0
的,0
中,0
国,0
指,0
南,0
/,0
共,0
"
",0
识,0
",",0
下,0
期,0
再,0
对,0
近,0
几,0
年,0
出,0
现,0
的,0
几,0
类,0
新,0
型,0
降,0
糖,0
药,0
进,0
行,0
总,0
"
",0
结,0
",",0
作,0
为,0
年,0
底,0
的,0
“,0
温,0
故,0
知,0
新,0
”,0
。,0
"
",0
相,0
比,0
于,0
其,0
他,0
降,0
糖,0
药,0
物,0
类,0
别,0
",",0
胰,B-Drug
岛,I-Drug
素,I-Drug
的,0
成,0
员,0
最,0
多,0
",",0
"
",0
临,0
床,0
应,0
用,0
也,0
各,0
不,0
相,0
同,0
",",0
所,0
以,0
需,0
要,0
分,0
开,0
介,0
绍,0
。,0
在,0
这,0
里,0
",",0
"
",0
我,0
们,0
将,0
分,0
为,0
