通,B-SideEff
讯,I-SideEff
作,0
者,0
:,0
母,0
义,0
明,0
",",0
男,0
",",0
主,0
任,0
医,0
师,0
",",0
教,0
授,0
、,0
博,0
士,0
生,0
导,0
"
",0
师,0
。,0
现,0
任,0
解,0
放,0
军,0
总,0
医,0
院,0
内,0
分,0
泌,0
科,0
主,0
任,0
、,0
中,0
华,0
"
",0
6,0
8,0
1,0
8,0
2,0
2,0
5,0
5,0
;,0
E,0
-,0
m,0
a,0
i,0
l,0
:,0
m,0
u,0
y,0
i,0
m,0
i,0
n,0
g,0
@,0
3,0
0,0
1,0
h,0
o,0
s,0
p,0
i,0
t,0
a,0
l,0
.,0
c,0
o,0
m,0
.,0
c,0
n,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
仍,0
是,0
目,0
前,0
糖,B-Disease
尿,I-Disease
病,I-Disease
治,0
疗,0
领,0
域,0
应,0
用,0
最,0
为,0
广,0
泛,0
的,0
口,0
服,0
降,0
糖,0
药,0
物,0
之,0
一,0
",",0
并,0
且,0
在,0
"
",0
国,0
内,0
外,0
2,B-Disease
型,I-Disease
糖,I-Disease
尿,I-Disease
病,I-Disease
(,0
t,0
y,0
p,0
e,0
 ,0
2,0
 ,0
d,0
i,0
a,0
b,0
e,0
t,0
e,0
s,0
 ,0
m,0
e,0
l,0
l,0
i,0
t,0
u,0
s,0
",",0
 ,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
),0
指,0
"
",0
南,0
中,0
占,0
据,0
着,0
非,0
常,0
重,0
要,0
的,0
治,0
疗,0
地,0
位,0
。,0
长,0
期,0
的,0
临,0
床,0
应,0
用,0
"
",0
和,0
大,0
量,0
的,0
循,0
证,0
医,0
学,0
证,0
据,0
均,0
表,0
明,0
",",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
不,0
仅,0
降,0
"
",0
糖,0
作,0
用,0
强,0
",",0
还,0
可,0
减,0
少,0
或,0
延,0
缓,0
T,B-Disease
2,I-Disease
D,I-Disease
M,I-Disease
慢,I-Disease
性,I-Disease
并,I-Disease
发,I-Disease
症,I-Disease
的,0
发,0
"
",0
生,0
",",0
特,0
别,0
是,0
微,B-Disease
血,I-Disease
管,I-Disease
并,I-Disease
发,I-Disease
症,I-Disease
。,0
不,0
同,0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
分,0
子,0
"
",0
结,0
构,0
、,0
药,0
代,0
/,0
药,0
效,0
动,0
力,0
学,0
以,0
及,0
剂,0
型,0
存,0
在,0
差,0
异,0
",",0
其,0
疗,0
"
",0
效,0
和,0
安,0
全,0
性,0
也,0
有,0
所,0
不,0
同,0
。,0
为,0
进,0
一,0
步,0
提,0
高,0
临,0
床,0
医,0
生,0
对,0
"
",0
磺,B-Drug
脲,I-Drug
类,I-Drug
药,I-Drug
物,I-Drug
的,0
认,0
识,0
",",0
更,0
好,0
地,0
指,0
导,0
临,0
床,0
合,0
理,0
用,0
药,0
",",0
"
",0
内,0
分,0
泌,0
专,0
家,0
基,0
于,0
循,0
证,0
医,0
